A,S,O_new
55.5,52.19,46.92
39.2,42.51,37.24
31.7,35.39,30.12
33.0,36.31,31.04
27.1,23.79,18.52
22.0,25.31,20.04
9.7,6.39,1.12
6.2,9.51,4.24
11.5,14.81,6.994111136446797
1.6,-1.71,4.930250541732079
0.5,3.81,3.6569361527682958
0.2,-3.11,3.1662891951568284
0.7,4.01,3.4504308944990925
2.0,5.31,4.5014824763964185
12.1,15.41,6.311565166450322
6.0,2.69,8.872800190262126
16.7,19.99,12.17730877343324
12.2,15.91,10.64
16.5,13.19,20.98463152025893
29.6,32.91,26.471688135116366
31.5,34.81,32.670503211738705
42.2,45.51,40.24
49.7,46.39,41.12
58.0,61.31,56.04
59.1,55.41,50.14
77.0,80.31,75.04
79.7,76.39,71.12
91.2,87.51,82.24
103.5,110.81,105.54
124.6,127.29,122.02
130.5,,128.54
